TYPOLOGIE ETABLISSEMENT,CLASSEMENT,NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,TELEPHONE,COURRIEL,SITE INTERNET,CAPACITE D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION (résidences de tourisme),NOMBRE D'UNITES D'HABITATION (villages de vacances),coordonnees,Nom du département,Nom de la région
VILLAGE DE VACANCES,3 étoiles,VILLAGE CLUB L'ÉMERAUDE,ROUTE DU GRAND PORT,85420,DAMVIX,0251871302,vpt-damvix@laligue.org,http://www.vendee-tourisme.com/hebergements-en-vendee/villages-de-vacances-en-vendee/42563-village-club-l-emeraude.html,229,,,,56,"46.310946,-0.732301",VENDEE,PAYS DE LA LOIRE
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES MMV LE FLAINE,PRé DE FLAINE,74300,FLAINE,0492126212,contact@mmv.fr,http://www.mmv.fr/hotel-club-ski-flaine-le-flaine,232,,,,72,"46.018971,6.658983",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,4 étoiles,LE TARBESOU,Bonascre,9110,AX-LES-THERMES,0561648854,contact@marc-montmija.com,www.marc-montmija.com,274,,,,74,"42.718495,1.833651",ARIEGE,OCCITANIE
VILLAGE DE VACANCES,2 étoiles,CAMPOTEL DU SALAGOU,Lac du Salagou,34800,CLERMONT-L'HÉRAULT,0467961313,contact@le-salagou.fr,www.le-salagou.fr,54,,,,13,"43.656513,3.401317",HERAULT,OCCITANIE
VILLAGE DE VACANCES,2 étoiles,VACANCES POUR TOUS ESTIBÈRE,CHEMIN DE SAINT-LARY,65170,VIELLE-AURE,0562395438,rviot@laligue.org,http://www.vacances-pour-tous.org,192,,,,62,"42.826665,0.328099",HAUTES-PYRENEES,OCCITANIE
VILLAGE DE VACANCES,2 étoiles,VILLAGE CLUB VACANCIEL DE SAINT PIERRE LA MER,2 Impasse Alain Bompard,11560,FLEURY,0825124545,reservations@vacanciel.com,http://www.vacanciel.com/club-st-pierre-la-mer-1201.html,338,,,,130,"43.187749,3.196759",AUDE,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,RAMATUELLE VILLAGE VACANCES,1332 route de Bonne Terrasse,83350,RAMATUELLE,0498129000,ramatuelle.heberg@touristravacances.com,http://www.touristravacances.com/village-vacances-var-ramatuelle.html,533,,,,188,"43.21137,6.663958",VAR,PROVENCE-ALPES-COTE D'AZUR
VILLAGE DE VACANCES,3 étoiles,VILLAGE CAP VACANCES LA PLAGNE,La Plagne Montalbert,73210,AIME,0825725735,capvacances@capvacances.com,www.capvacances.fr,288,,,,94,"45.534491,6.63581",SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,2 étoiles,LANDISLAND,1010 Rue des templiers,40660,MOLIETS-ET-MAA,0558471378,landisland@franceloc.fr,www.camping-landisland.fr,296,,,,74,"43.864452,-1.345766",LANDES,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES CHALETS DES AIGUILLES ODCV19,213 CHEMIN DU BIOLLAY,74400,CHAMONIX-MONT-BLANC,0450531735,chamonix@odcv.com,http://www.odcv.com/Chalets-des-Aiguilles-Chamonix_r12.html,94,,,,29,"45.914861,6.865511",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,2 étoiles,CENTRE DE VACANCES FENESTRE,197 avenue d'Angleterre,63150,LA BOURBOULE,0473655705,centre.fenestre@wanadoo.fr,http://www.centrefenestre.com,70,,,,20,"45.586543,2.742203",PUY-DE-DOME,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,ALBARELLA,lieu-dit briscianolla,20230,TALASANI,0495563172,albaserena@orange.fr,albacorse.com,305,,,,61,"42.426389,9.540648",HAUTE-CORSE,CORSE
VILLAGE DE VACANCES,3 étoiles,SAVILOISIRS,7 PLACE DE LA LIBERTé,63890,SAINT-AMANT-ROCHE-SAVINE,0473957360,saviloisirs@wanadoo.fr,www.saviloisirs.com,156,,,,30,"45.574519,3.633853",PUY-DE-DOME,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,LE HERBAU,136 chemin de la pépinière,88400,GÉRARDMER,03.29.63.69.63,leherbau@artes.asso.fr,-,156,,,,36,"48.077122,6.863626",VOSGES,GRAND EST
VILLAGE DE VACANCES,3 étoiles,MFV JEUNESSE ET FAMILLE,Route de Morel BP5,73550,MERIBEL,0479086039,jeunesse.et.famille@wanadoo.fr,www.jeunesse-et-famille.com,125,,,,36,"45.401705,6.56953",SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,4 étoiles,VILLAGE DE VACANCES ATLANTIQUE VACANCES,Chemin de la Conge,85270,SAINT-HILAIRE-DE-RIEZ,0251553040,atlantique-vacances@orange.fr,http://atlantique-vacances.fr,383,,,,83,"46.744723,-1.999822",VENDEE,PAYS DE LA LOIRE
VILLAGE DE VACANCES,3 étoiles,DOMAINE DE BARRES,route de mende,48300,LANGOGONE,04.66.46.08.37,accueil@domainedebarres.com,www.domainedebarres.com,4,,,,8,"44.731367,3.842161",LOZERE,OCCITANIE
VILLAGE DE VACANCES,4 étoiles,VVF VILLAGES,"Claouey, Avenue édouard Branly",33950,LÈGE-CAP-FERRET,0556607226,lege@vvfvillages.fr,www.vvfvillages.fr,1097,,,,200,"44.7513,-1.184581",GIRONDE,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,4 étoiles,DOMAINE DU MAS DE SABOTH,Mas de Saboth,46090,VERS,0565314174,contact@masdesaboth.com,http://www.masdesaboth.com,450,,,,92,"44.490394,1.537673",LOT,OCCITANIE
VILLAGE DE VACANCES,2 étoiles,VILLAGE CLUB ODÉSIA VACANCES LES KARELLIS,Station les Karellis,73870,MONTRICHER-ALBANNE,0479595172,karellis@odesia.eu,http://www.odesia-vacances.com/village/hiver/les-karellis/,300,,,,104,"45.22613,6.397126",SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES RIVES DES CORBIÈRES,Rue du Fresquel,11370,PORT-LEUCATE,0468114310,reservations@ligue11.org,www.rivesdescorbieres.com,700,,,,176,"42.843363,3.036549",AUDE,OCCITANIE
VILLAGE DE VACANCES,2 étoiles,VILLAGE VACANCES DU LAC,route du Lac,31350,BOULOGNE-SUR-GESSE,0561882054,villagevacancesboulogne@wanadoo.fr,http://ville-boulogne-sur-gesse.fr,144,,,,24,"43.2842,0.654546",HAUTE-GARONNE,OCCITANIE
VILLAGE DE VACANCES,2 étoiles,LE PAVILLON DES FLEURS,Route du Port,74290,MENTHON-SAINT-BERNARD,0450601211,pavillondesfleurs@ternelia.com,http://www.pavillondesfleurs.com/,87,,,,38,"45.860536,6.189585",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLAGE CAP VACANCES L'ESTANYOT,Allée joffre,66420,LE BARCARÈS,0825725735,capvacances@capvacances.com,http://www.capvacances.fr/,736,,,,158,"42.804285,3.036393",PYRENEES-ORIENTALES,OCCITANIE
VILLAGE DE VACANCES,4 étoiles,VILLAGE VACANCES MMV LES BERGERS,315 route de l'Altiport,38750,ALPE D'HUEZ,0492126200,contact@mmv.fr,http://www.mmv.fr/hotel-club-ski-alpe-dhuez-les-bergers,447,,,,194,"45.089344,6.079792",ISERE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,2 étoiles,TARNOS VILLAGE VACANCES,91 AVENUE JULIAN GRIMAU,40220,TARNOS,0559746100,tarnos@touristravacances.com,http://www.touristravacances.com/village-vacances-nature-tarnos.html,686,,,,130,"43.556719,-1.494926",LANDES,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,3 étoiles,VILLAGE VACANCES MMV LE PANORAMA,7 rue de Champamé Les Deux Alpes,38860,MONT-DE-LANS,0476792636,contact@mmv.fr,http://www.mmv.fr/hotel-club-ski-les-2-alpes-le-panorama,280,,,,99,"45.016303,6.126443",ISERE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,CAP VACANCES CHAPELLE DES BOIS,2 Chemin du marais blanc,25240,CHAPELLE-DES-BOIS,0825725735,capvacances@capvacances.com,www.capvacances.com,180,,,,51,"46.60261,6.111971",DOUBS,BOURGOGNE-FRANCHE-COMTE
VILLAGE DE VACANCES,2 étoiles,LES ABRICOTIERS,"chemin de Néguebous, Taxo d'avall",66700,ARGELÈS-SUR-MER,0468378787,service.reservations@popinns.com,www.vacances.popinns.com,1278,,,,214,"42.56819,3.004454",PYRENEES-ORIENTALES,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,VVF VILLAGES,vendes,15240,BASSIGNAC,0471697181,vendes@vvfvillages.fr,www.vvfvillages.Fr,263,,,,64,"45.297244,2.386236",CANTAL,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLA SAINT CAMILLE,68 AVENUE DE LA CORNICHE D'OR,6590,THÉOULE-SUR-MER,0492973636,resa@villasaintcamille.org,www.villasaintcamille.org,82,,,,37,"43.500383,6.95161",ALPES-MARITIMES,PROVENCE-ALPES-COTE D'AZUR
VILLAGE DE VACANCES,2 étoiles,VILLAGE DE VACANCES BIVOUAC NATURE,Graousse,30270,SAINT-JEAN-DU-GARD,0466853690,bivouac.nature@gmail.com,www.bivouac-nature.com,65,,,,15,"44.111891,3.874013",GARD,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,CAP'VACANCES PORT-MANECH,Rue Beg Ar Vechen,29920,NÉVEZ,0298068211,portmanech@capvacances.com,http://www.capvacances.fr/vacances-ete-bretagne-port-manech.html,270,,,,84,"47.797977,-3.743156",FINISTERE,BRETAGNE
VILLAGE DE VACANCES,2 étoiles,VILLAGE CLUB VACANCIEL DE PORT FRÉJUS,1042 Boulevard de la Mer,83600,FRÉJUS,04 94 51 15 55,reservations@vacanciel.com,http://www.vacanciel.com/hotel-club-port-frejus-121.html,161,,,,59,"43.420452,6.744503",VAR,PROVENCE-ALPES-COTE D'AZUR
VILLAGE DE VACANCES,3 étoiles,CAP VACANCES L'HAUTURIÈRE,103 Taille de mas du Grand Hôtel,74110,MORZINE,0825725735,capvacances@capvacances.com,www.capvacances.com,205,,,,65,"46.182019,6.70119",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES LES VENTOULINES,Lieu-Dit Les Ventoulines,24250,DOMME,0553283629,lesventoulines@wanadoo.fr,http://www.gites-dordogne-sarlat.fr,128,,,,24,"44.788347,1.23211",DORDOGNE,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,2 étoiles,VALINCO VILLAGE,route de porto pollo,20140,SERRA-DI-FERRO,0495740278,contact@valincovillage.com,www.valincovillage.com,150,,,,54,"41.710548,8.795868",CORSE-DU-SUD,CORSE
VILLAGE DE VACANCES,3 étoiles,VILLAGE VACANCES LES DEMEURES DU LAC,PLAN D'EAU DES PRADES Les bruyères,63550,SAINT-RÉMY-SUR-DUROLLE,0473936000,contact@revea-vacances.com,http://www.revea-vacances.fr/fr/campagne/nos-destinations-campagne/mille-et-un-centre/saint-remy-sur-durolle.html,446,,,,70,"45.895807,3.59954",PUY-DE-DOME,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES LE BLEYMARD,route du mont lozère,48190,LE BLEYMARD,0466486514,villagevacancesdubleymard@hotmail.fr,http://www.gites-bleymard.com/,187,,,,35,"44.485436,3.733213",LOZERE,OCCITANIE
VILLAGE DE VACANCES,2 étoiles,VILLAGE DE VACANCES CLUB VACANCIEL DE SALIES-DE-BÉARN,Avenue Al Cartero,64270,SALIES-DE-BÉARN,0805124545,reservations@vacanciel.com,http://www.vacanciel.com/club-salies-de-bearn-324.html,187,,,,64,"43.475915,-0.932685",PYRENEES-ATLANTIQUES,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,3 étoiles,VVF VILLAGES ARGOL,Ar Ménez,29560,ARGOL,0298273302,argol@vvfvillages.fr,www.vvfvillages.fr,220,,,,50,"48.213071,-4.315139",FINISTERE,BRETAGNE
VILLAGE DE VACANCES,3 étoiles,VILLA CAMILLE,11 avenue Pierre FABRE,66650,BANYULS-SUR-MER,0468898170,villacamille@apas.asso.fr,-,129,,,,37,"42.480095,3.133505",PYRENEES-ORIENTALES,OCCITANIE
VILLAGE DE VACANCES,4 étoiles,VILLAGE DE VACANCES LA LANDE DU MOULIN,Le Nounène,56250,SULNIAC,0297532939,info@la-lande-du-moulin.com,http://www.la-lande-du-moulin.com/,370,,,,65,"47.666474,-2.564872",MORBIHAN,BRETAGNE
VILLAGE DE VACANCES,2 étoiles,CAMPEOLE DOMAINE DE COMBELLES,ROUTE DE RANDEYNES,12000,RODEZ,0556782953,combelles@campeole.com,www.camping-rodez.com,638,,,,124,"44.343892,2.57819",AVEYRON,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE LA GINESTE,LA GINESTE,15150,ARNAC,0471629190,mairiearnac@wanadoo.fr,http://www.village-vacances-cantal.com,540,,,,122,"45.083033,2.211682",CANTAL,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLAGE CAP VACANCES L'EAU ROUSSE,Doucy Combelouvière,73260,DOUCY,0825725735,capvacances@capvacances.fr,www.capvacances.fr,384,,,,88,"45.504642,6.483593",SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,4 étoiles,VILLAGE DE VACANCES LE HAMEAU DE L'OCÉAN,20 CHEMIN DE LA PARéE PRéNEAU,85270,SAINT-HILAIRE-DE-RIEZ,0251559200,hameau.ocean@orange.fr,http://www.vendee-en-vacances.com/,238,,,,42,"46.737432,-1.983585",VENDEE,PAYS DE LA LOIRE
VILLAGE DE VACANCES,3 étoiles,MARINA D'ORU,ROUTE DE LA MER,20240,GHISONACCIA,0495565758,service.resamarinadoru@wanadoo.fr,http://www.marinadoru.com,1000,,,,219,"42.012359,9.409336",HAUTE-CORSE,CORSE
VILLAGE DE VACANCES,3 étoiles,LE HAMEAU SAINT MARTIAL,rue de la Calquière,12240,RIEUPEYROUX,0565658181,info@les-hameaux.fr,http://www.les-hameaux.fr,242,,,,48,"44.308269,2.232846",AVEYRON,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,LES SABLES D'OR,16 IMPASSE DES ROCQUERETS,50560,GOUVILLE-SUR-MER,0233478276,lessablesdor.direction@orange.fr,www.vacances-pour-tous.org,86,,,,14,"49.09629,-1.606022",MANCHE,NORMANDIE
VILLAGE DE VACANCES,3 étoiles,VVLM,Lac de Menet,15400,MENET,0642048537,contact@village-vacances-auvergne-lacdemenet.com,www.village-vacances-auvergne-lacdemenet.com,84,,,,14,"45.298839,2.586809",CANTAL,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,DOMAINE LES HAUTS DU CAUSSE,L'Hôpital Saint Jean,46600,SARRAZAC,0610601943,leshdc@hotmail.com,http://www.leshautsducausse.com,39,,,,7,"45.016315,1.575419",LOT,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,VILLAGE CÉVÉO DE LUZ,42 Rue de la Lanne,65120,LUZ-SAINT-SAUVEUR,0562928472,luz@ceveo.com,http://www.ceveo.com/village/village-vacances-de-luz-saint-sauveur-pyrenees,300,,,,150,"42.875673,-0.013459",HAUTES-PYRENEES,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,VTF LE DOMAINE DE FRANCON,81 rue de Salon,64200,BIARRITZ,0559417050,vtfbiarritz@vtf-vacances.com,www.vtf-vacances.com,169,,,,73,"43.462755,-1.559831",PYRENEES-ATLANTIQUES,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,3 étoiles,"TERNELIA, LE PRÉ DU LAC",209 impasse des champs fleuris,74410,SAINT-JORIOZ,0479590980,saintjorioz-reservation@ternelia.com,www.pre-du-lac.com,250,,,,100,"45.827211,6.183639",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES LES BECCHI,239 Route Du Grand Massif,74340,SAMOËNS,0450344652,dir.lesbecchi@aec-vacances.com,www.aec-vacances.com,372,,,,109,"46.07822,6.726491",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,UCPA SAINT-CYPRIEN,Rue Verdi,66750,SAINT-CYPRIEN,04 68 21 90 95,stcyprien@ucpa.asso.fr,http://www.ucpa-vacances.com/,217,,,,68,"42.606224,3.031001",PYRENEES-ORIENTALES,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,VILLAGES CLUBS DU SOLEIL LE REVERDI,Le Plan de la tour,83120,SAINTE-MAXIME,0494555600,reverdi.accueil@lesvillagesclubsdusoleil.com,https://www.villagesclubsdusoleil.com/fr/nos-destinations/ete/sejour-a-la-mer/le-reverdi,218,,,,58,"43.324527,6.620261",VAR,PROVENCE-ALPES-COTE D'AZUR
VILLAGE DE VACANCES,3 étoiles,DOMAINE DE CHÂTEAU LAVAL VACANCES BLEUES,ROUTE DE VALENSOLE,4800,GRÉOUX-LES-BAINS,0492702300,chateaulaval@vacancesbleues.fr,https://www.vacancesbleues.fr/fr/produits/club-domaine-de-chateau-laval,665,,,,170,"43.766146,5.892675",ALPES-DE-HAUTE-PROVENCE,PROVENCE-ALPES-COTE D'AZUR
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES CÉVÉO DU HAUT BRÉDA,FOND DE FRANCE,38580,LA FERRIÈRE,0476975090,hautbreda@ceveo.com,http://www.ceveo.com/village/village-vacances-du-haut-breda-7-laux,208,,,,56,"45.281471,6.073249",ISERE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,HÔTEL-CLUB VACANCIEL DE SAMATAN,Route de Lombez,32130,SAMATAN,0825124545,reservations@vacanciel.com,www.vacanciel.com/club-decouverte-vacanciel-samatan,209,,,,54,"43.489176,0.927382",GERS,OCCITANIE
VILLAGE DE VACANCES,4 étoiles,DOMAINE LOU CAPITELLE,quartier souchière,7200,VOGÜÉ,0475377132,resa@loucapitelle.com,www.loucapitelle.com,461,,,,159,,,
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES RÉ LA BLANCHE,rue du clou,17580,LE BOIS-PLAGE-EN-RÉ,0546097272,vpt-boisplage@laligue.org,http://www.vacances-pour-tous.org/vv/vpt/index.asp,200,,,,50,"46.188316,-1.391226",CHARENTE-MARITIME,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,4 étoiles,CAP FRANCE LA BOLLE,34 chemin du réservoir,88100,SAINT-DIÉ-DES-VOSGES,0329561311,labolle@wanadoo.fr,http://www.la-bolle.com,200,,,,85,"48.285893,6.91117",VOSGES,GRAND EST
VILLAGE DE VACANCES,3 étoiles,ALBA SERENA,Poggio Mezzana,20230,SAN-NICOLAO,0495385789,albaserena@orange.fr,http://www.albacorse.com/,330,,,,75,"42.400108,9.490761",HAUTE-CORSE,CORSE
VILLAGE DE VACANCES,2 étoiles,CHALET PIERRE SEMARD,400 chemin des frasserands,74400,CHAMONIX-MONT-BLANC,0450540029,info@chalet-hotel-psemard.com,http://www.chalet-hotel-psemard.com/accueil.php,106,,,,36,"45.99397,6.929768",HAUTE-SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES DU PARC DES LOUPS DU GEVAUDAN,SAINTE LUCIE,48100,SAINT-LÉGER-DE-PEYRE,0466320922,infos@loupsdugevaudan.com,http://www.loupsdugevaudan.com/,36,,,,8,"44.606082,3.284124",LOZERE,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,CLUB VACANCIEL DE CARQUEIRANNE,600 AVENUE DE LA VALÉRANE,83320,CARQUEIRANNE,0475824546,reservations@vacanciel.com,http://www.vacanciel.com/club-vacanciel-carqueiranne-ete,655,,,,205,"43.088448,6.091579",VAR,PROVENCE-ALPES-COTE D'AZUR
VILLAGE DE VACANCES,3 étoiles,SOLEIL DE JADE,187 route de la Pointe saint Gildas,44770,PRÉFAILLES,02.4021.60.23,resagroupe@fal44.org,soleildejade.com,155,,,,34,"47.134079,-2.237072",LOIRE-ATLANTIQUE,PAYS DE LA LOIRE
VILLAGE DE VACANCES,3 étoiles,CLUB BELAMBRA BALARUC LES BAINS LES RIVES DE THAU,RUE DU STADE,34540,BALARUC-LES-BAINS,0467517400,laetitia.lebell@belambra.fr,www.belambra.fr,835,,,,278,"43.440963,3.673849",HERAULT,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,VILLAGE VACANCES & SPA LA CHÂTAIGNERAIE,Route André Mouly,15600,MAURS,0471462500,reception@vacances-chataigneraie.com,www.vacances-chataigneraie.com,216,,,,72,"44.714889,2.193447",CANTAL,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES AZUREVA BUSSANG MASSIF DES VOSGES,2 rue larcenaire,88540,BUSSANG,0329615174,bussang@azureva-vacances.com,https://www.azureva-vacances.com/fr/village-vacances/bussang/ete,387,,,,180,"47.900945,6.865149",VOSGES,GRAND EST
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES CENTRE HÉLIO MARIN,44 AVENUE DE L'EUROPE,33930,VENDAYS-MONTALIVET,0556737373,infos@socnat.fr,http://www.chm-montalivet.com,48,,,,10,"45.365058,-1.145245",GIRONDE,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,3 étoiles,VILLAGE DE VACANCES DE L'ARMORIQUE,18 rue MILIN AVEL,22310,PLESTIN-LES-GRÈVES,0235216963,reservations@tlcvacances.fr,-,215,,,,42,"48.679601,-3.622886",COTES-D'ARMOR,BRETAGNE
VILLAGE DE VACANCES,3 étoiles,VACANCES POUR TOUS INTERNATIONAL,les dunes domaine de bombannes,33121,CARCANS,0556039500,vpt-bombannes@laligue.org,www.vacances-pour-tous.org,450,,,,110,"45.094147,-1.143315",GIRONDE,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,3 étoiles,VILLAGE VACANCES  A DIEU VAT,26 Rue de la Vigie,17110,SAINT-GEORGES-DE-DIDONNE,0546058322,contact@aec-vacances.com,www.aec-vacances.com,205,,,,46,"45.60319,-1.009423",CHARENTE-MARITIME,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,2 étoiles,VILLAGE DE VACANCES RAVEL,Ravel,30270,SAINT-JEAN-DU-GARD,0687690163,gitesravel@cevennes-vacances.com,http://www.cevennes-vacances.com,6,,,,20,"44.116355,3.889719",GARD,OCCITANIE
VILLAGE DE VACANCES,2 étoiles,VTF LE RAFOUR,LE PLANAY,73270,ARÊCHES BEAUFORT,0442958663,vtfareches@vtf-vacances.com,http://www.vtf-vacances.com,136,,,,41,"45.671862,6.540512",SAVOIE,AUVERGNE-RHONE-ALPES
VILLAGE DE VACANCES,1 étoile,CLUB BELAMBRA SAINT MARTIN DE RÉ,Chemin des Maraises,17410,SAINT-MARTIN-DE-RÉ,0892353637,club.ile-de-re@belambra.fr,http://www.belambra.fr/club-ile-de-re-saint-martin/ete,609,,,,144,"46.18999,-1.357863",CHARENTE-MARITIME,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,4 étoiles,CLUB MED LA PALMYRE,Allée du grand Large,17570,LES MATHES,0546397730,lpacplan01@clubmed.com,https://www.clubmed.fr,1475,,,,404,"45.682037,-1.163558",CHARENTE-MARITIME,NOUVELLE-AQUITAINE
VILLAGE DE VACANCES,1 étoile,LE P'TIT BOIS,LASCAMPS,46120,LEYME,0565389873,village.vacances.leyme@wanadoo.fr,http://www.villagevacancesleyme-lot.fr,139,,,,26,"44.784593,1.900124",LOT,OCCITANIE
VILLAGE DE VACANCES,3 étoiles,VILLAGES CLUBS DU SOLEIL OZ EN OISANS,Les Cristaux - Col de Poutran,38114,OZ EN OISANS,0491048702,wfournier@villagesclubsdusoleil.com,http://www.villagesclubsdusoleil.com/fr/nos-destinations/hiver/sejour-a-la-montagne/oz-en-oisans-alpe-d-huez,100,,,,29,"45.127473,6.071374",ISERE,AUVERGNE-RHONE-ALPES
